epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,394.906,1.57476,1.50696,1.70278,0.57966,0.65659,0.63845,0.3134,1.56993,1.17115,1.81812,0.000990365,0.000990365,0.000990365
43,405.611,1.58616,1.5334,1.72172,0.66851,0.78022,0.81761,0.396,1.54525,1.20161,1.77775,0.000973861,0.000973861,0.000973861
44,415.399,1.53296,1.44888,1.66834,0.78286,0.90385,0.85414,0.41619,1.53635,1.08302,1.77305,0.000957358,0.000957358,0.000957358
45,423.882,1.57662,1.46458,1.69204,0.78978,0.74725,0.90668,0.46385,1.48938,0.98919,1.76297,0.000940855,0.000940855,0.000940855
46,432.435,1.53645,1.43353,1.68007,0.69164,0.94231,0.84327,0.42589,1.61587,1.07698,1.78274,0.000924352,0.000924352,0.000924352
47,441.319,1.55479,1.45527,1.65962,0.56727,0.73529,0.5992,0.31922,1.45685,1.10896,1.69423,0.000907848,0.000907848,0.000907848
48,451.824,1.4813,1.36262,1.6158,0.93749,0.74495,0.91134,0.47855,1.45023,0.9518,1.69463,0.000891345,0.000891345,0.000891345
49,462.26,1.50823,1.3401,1.61619,0.79433,0.89011,0.92646,0.5073,1.44893,0.95251,1.70338,0.000874842,0.000874842,0.000874842
50,472.591,1.48961,1.30576,1.62393,0.66978,0.76582,0.77413,0.42094,1.40051,1.05679,1.67089,0.000858338,0.000858338,0.000858338
51,481.906,1.49767,1.31447,1.60848,0.60278,0.54258,0.61186,0.34689,1.30766,1.05232,1.57024,0.000841835,0.000841835,0.000841835
52,492.539,1.46011,1.32816,1.5951,0.44887,0.52335,0.49943,0.29457,1.46353,1.19196,1.7277,0.000825332,0.000825332,0.000825332
53,502.644,1.47367,1.29094,1.58555,0.84817,0.91116,0.92061,0.51892,1.37219,0.86907,1.59616,0.000808828,0.000808828,0.000808828
54,512.061,1.44468,1.24513,1.58211,0.86682,0.86257,0.90783,0.51641,1.35506,0.86349,1.59903,0.000792325,0.000792325,0.000792325
55,522.646,1.41538,1.22747,1.56151,0.88019,0.65148,0.79247,0.48048,1.34458,1.02957,1.57343,0.000775822,0.000775822,0.000775822
56,533.489,1.45258,1.24309,1.57763,0.62948,0.78984,0.70072,0.40169,1.3181,0.99611,1.56409,0.000759318,0.000759318,0.000759318
57,543.469,1.45892,1.25156,1.58148,0.7237,0.78362,0.76559,0.447,1.31805,0.89205,1.58771,0.000742815,0.000742815,0.000742815
58,552.395,1.35564,1.1396,1.5105,0.90476,0.96539,0.97042,0.5727,1.20901,0.74962,1.45814,0.000726312,0.000726312,0.000726312
59,562.894,1.3628,1.12339,1.51195,0.86335,0.95063,0.93752,0.56569,1.27656,0.69449,1.49254,0.000709809,0.000709809,0.000709809
60,573.663,1.35215,1.11343,1.49558,0.9258,0.91932,0.97259,0.60512,1.23218,0.81233,1.49391,0.000693305,0.000693305,0.000693305
61,584.505,1.38634,1.13006,1.53034,0.91694,0.81868,0.88754,0.56957,1.16542,0.77816,1.46305,0.000676802,0.000676802,0.000676802
62,595.106,1.34909,1.10593,1.49665,0.81719,0.88056,0.9049,0.52641,1.22871,0.78442,1.50348,0.000660299,0.000660299,0.000660299
63,605.839,1.37698,1.09277,1.53228,0.88246,0.95262,0.95688,0.59815,1.19602,0.72674,1.4936,0.000643795,0.000643795,0.000643795
64,616.607,1.3541,1.07503,1.5027,0.8213,0.97115,0.91578,0.61952,1.14739,0.76905,1.42389,0.000627292,0.000627292,0.000627292
65,627.043,1.3234,1.06089,1.47097,0.87972,0.92308,0.92688,0.56854,1.20542,0.70985,1.45434,0.000610789,0.000610789,0.000610789
66,635.629,1.31696,1.03285,1.45809,0.85801,0.90045,0.93347,0.66018,1.11286,0.76612,1.38849,0.000594286,0.000594286,0.000594286
67,644.778,1.31597,1.03469,1.45811,0.86601,0.91263,0.89768,0.62233,1.10492,0.68759,1.418,0.000577782,0.000577782,0.000577782
68,654.942,1.31754,1.03635,1.45629,0.8392,0.97193,0.92127,0.62577,1.07648,0.70706,1.35874,0.000561279,0.000561279,0.000561279
69,663.432,1.27804,0.99014,1.43184,0.96904,0.84203,0.93861,0.63998,1.0311,0.68845,1.3221,0.000544776,0.000544776,0.000544776
70,671.946,1.25405,0.99751,1.41286,0.952,0.92782,0.95665,0.62324,1.05088,0.62052,1.33521,0.000528272,0.000528272,0.000528272
71,680.484,1.26887,1.01652,1.43925,0.89237,0.98077,0.93014,0.63304,1.05041,0.62684,1.32831,0.000511769,0.000511769,0.000511769
72,688.948,1.29233,0.99598,1.45755,0.87625,0.99634,0.9797,0.70256,0.99213,0.61676,1.27737,0.000495266,0.000495266,0.000495266
73,697.413,1.27168,0.99589,1.4263,0.81166,0.93471,0.9295,0.64732,1.0742,0.63662,1.35376,0.000478762,0.000478762,0.000478762
74,705.846,1.2539,0.97767,1.42318,0.95318,0.9604,0.99354,0.70254,0.96317,0.58696,1.29667,0.000462259,0.000462259,0.000462259
75,714.335,1.22467,0.95505,1.38999,0.86257,0.95902,0.90996,0.6307,1.02379,0.67086,1.32359,0.000445756,0.000445756,0.000445756
76,722.87,1.23798,0.96074,1.40991,0.95518,0.98454,0.99129,0.69012,0.99872,0.58918,1.30384,0.000429253,0.000429253,0.000429253
77,732.874,1.20515,0.93147,1.38323,0.96187,0.91896,0.93165,0.65345,0.99642,0.6092,1.28291,0.000412749,0.000412749,0.000412749
78,743.672,1.19965,0.9309,1.37807,0.73351,0.95635,0.80356,0.56616,1.03762,0.73568,1.33403,0.000396246,0.000396246,0.000396246
79,754.201,1.20544,0.93195,1.38571,0.83488,0.98077,0.88321,0.59472,1.01533,0.62949,1.30972,0.000379743,0.000379743,0.000379743
80,764.763,1.17912,0.89587,1.36948,0.89731,0.97769,0.96406,0.66396,0.97017,0.55209,1.27341,0.000363239,0.000363239,0.000363239
81,775.266,1.16857,0.8617,1.36308,0.99067,0.93582,0.9936,0.6777,0.93949,0.55859,1.26426,0.000346736,0.000346736,0.000346736
82,785.338,1.16882,0.89824,1.36769,0.921,0.94733,0.93902,0.65439,1.00301,0.5871,1.27839,0.000330233,0.000330233,0.000330233
83,794.276,1.17284,0.87493,1.35926,0.83934,0.96154,0.89195,0.64248,0.92713,0.60513,1.22035,0.000313729,0.000313729,0.000313729
84,804.76,1.11082,0.81232,1.30801,0.95018,0.97549,0.9941,0.7092,0.89365,0.54042,1.20905,0.000297226,0.000297226,0.000297226
85,815.59,1.15769,0.85721,1.34613,0.87304,0.97868,0.94611,0.70147,0.86525,0.57034,1.18496,0.000280723,0.000280723,0.000280723
86,826.078,1.1077,0.81373,1.31336,0.93064,0.97115,0.96696,0.71543,0.85323,0.52072,1.16614,0.00026422,0.00026422,0.00026422
87,836.484,1.14648,0.83368,1.32011,0.92189,0.97115,0.96722,0.71987,0.88659,0.51688,1.17622,0.000247716,0.000247716,0.000247716
88,847.03,1.08252,0.80183,1.30092,0.9075,0.96422,0.98419,0.70519,0.88741,0.50951,1.18767,0.000231213,0.000231213,0.000231213
89,857.401,1.06261,0.79296,1.29168,0.86837,0.96598,0.91782,0.68734,0.84724,0.51765,1.15928,0.00021471,0.00021471,0.00021471
90,867.939,1.06883,0.80393,1.28859,0.88528,0.94044,0.91738,0.67299,0.85902,0.53811,1.16316,0.000198206,0.000198206,0.000198206
91,912.476,1.07969,0.72214,1.31225,0.88439,0.95192,0.91347,0.68027,0.89684,0.55464,1.19451,0.000181703,0.000181703,0.000181703
92,922.78,1.04801,0.68852,1.29219,0.85754,0.96818,0.94551,0.69773,0.86497,0.53386,1.17159,0.0001652,0.0001652,0.0001652
93,933.059,1.01716,0.62345,1.26002,0.9899,0.9754,0.99453,0.75913,0.80375,0.47809,1.12883,0.000148696,0.000148696,0.000148696
94,943.303,0.99762,0.62047,1.23892,0.98686,0.98077,0.99472,0.77684,0.73835,0.46586,1.10037,0.000132193,0.000132193,0.000132193
95,953.53,0.98269,0.62463,1.23665,0.9896,0.9793,0.99491,0.78278,0.76091,0.46674,1.10882,0.00011569,0.00011569,0.00011569
96,964.265,0.95287,0.60308,1.22141,0.97192,0.98659,0.99453,0.76372,0.74686,0.46366,1.09277,9.91865e-05,9.91865e-05,9.91865e-05
97,974.556,0.95816,0.60334,1.22027,0.99401,0.97287,0.99491,0.75852,0.73061,0.45424,1.07738,8.26832e-05,8.26832e-05,8.26832e-05
98,984.766,0.92505,0.57571,1.19418,0.99434,0.97215,0.995,0.78208,0.7186,0.44221,1.07092,6.61799e-05,6.61799e-05,6.61799e-05
99,994.997,0.92468,0.58821,1.21555,0.97695,0.99394,0.995,0.77011,0.71138,0.44342,1.06631,4.96766e-05,4.96766e-05,4.96766e-05
100,1005.22,0.91794,0.57358,1.1893,0.99366,0.97604,0.99491,0.77687,0.70907,0.43588,1.06425,3.31733e-05,3.31733e-05,3.31733e-05
